run_id,profile,family,fold,subset_seed,budget,map_seed,sampling_seed,launched_shots,macro_f1,balanced_accuracy,accuracy,acceptance,failures,test_inference_seconds
pilot_0041043e81de,pilot,B1,0,11,12,,,,0.930275965864686,0.9305555555555557,0.9305555555555556,,0,0.009708899999168352
pilot_02532fbc4957,pilot,B4,0,22,12,,,,0.8252708508456,0.8222222222222221,0.8222222222222222,,0,0.028724499999952968
pilot_0c0482ca6786,pilot,B2,0,22,48,,,,0.9666860916860917,0.9666666666666667,0.9666666666666667,,0,0.09672230000069248
pilot_0cf2cef68107,pilot,B3,0,22,48,,,,0.8861270596740008,0.8861111111111111,0.8861111111111111,,0,0.01706720000038331
pilot_0dce5949ecc0,pilot,B3,0,33,12,,,,0.8209304233074194,0.8250000000000002,0.825,,0,0.01624699999956647
pilot_10714434fb28,pilot,B4,0,22,24,,,,0.8455189225212489,0.8444444444444444,0.8444444444444444,,0,0.028983400001379778
pilot_1a66c79d4c9b,pilot,B2,0,22,12,,,,0.8774269365508548,0.8777777777777778,0.8777777777777778,,0,0.044418200001018704
pilot_1b78f9a85624,pilot,B4,0,33,12,,,,0.8303333777955627,0.8333333333333334,0.8333333333333334,,0,0.02202969999962079
pilot_1cc8286cb294,pilot,B3,0,22,12,,,,0.8148622865767169,0.8138888888888888,0.8138888888888889,,0,0.02401099999951839
pilot_307d6cb49c4f,pilot,B2,0,11,12,,,,0.9187427547114405,0.9194444444444444,0.9194444444444444,,0,0.018152900000131922
pilot_3c1f821715c9,pilot,B3,0,11,12,,,,0.8315031897887607,0.8333333333333334,0.8333333333333334,,0,0.009689700000308221
pilot_40f0a618f659,pilot,B1,0,33,24,,,,0.975077101771359,0.9750000000000001,0.975,,0,0.025786199999856763
pilot_49ca44e76332,pilot,B2,0,33,12,,,,0.8967178298160207,0.8972222222222221,0.8972222222222223,,0,0.04461820000142325
pilot_4f1663b07810,pilot,B3,0,11,24,,,,0.8303327526648463,0.8305555555555557,0.8305555555555556,,0,0.01568769999903452
pilot_4f9bce5736ee,pilot,B4,0,33,48,,,,0.9308391099849908,0.9305555555555555,0.9305555555555556,,0,0.040713599999435246
pilot_520b306163e9,pilot,B2,0,33,24,,,,0.91159981510663,0.9111111111111111,0.9111111111111111,,0,0.11716290000003937
pilot_600a67ca20fe,pilot,B3,0,33,24,,,,0.8736165689763912,0.875,0.875,,0,0.017174099999465398
pilot_60cf8f217fda,pilot,B4,0,22,48,,,,0.9083823585747769,0.9083333333333333,0.9083333333333333,,0,0.03419190000022354
pilot_61bb5a9dec21,pilot,B4,0,11,24,,,,0.8207399563059142,0.8166666666666665,0.8166666666666667,,0,0.03343300000051386
pilot_6af284ee5a1e,pilot,B2,0,33,48,,,,0.9315098175900657,0.9305555555555555,0.9305555555555556,,0,0.09954219999963243
pilot_70769979928a,pilot,B2,0,11,24,,,,0.9364777663384647,0.936111111111111,0.9361111111111111,,0,0.06253210000068066
pilot_7a4f477267fc,pilot,B1,0,11,24,,,,0.927437481957906,0.9277777777777777,0.9277777777777778,,0,0.02188180000121065
pilot_7b3cd56a4e90,pilot,B1,0,22,48,,,,0.988865353303856,0.9888888888888889,0.9888888888888889,,0,0.01881839999987278
pilot_7d9884f389d7,pilot,B4,0,11,12,,,,0.8400384005703759,0.8388888888888889,0.8388888888888889,,0,0.010798600000271108
pilot_82828223bd54,pilot,B3,0,33,48,,,,0.9446310598534288,0.9444444444444445,0.9444444444444444,,0,0.009983999998439685
pilot_95a56074bdf5,pilot,B1,0,33,48,,,,0.9777205610667564,0.9777777777777779,0.9777777777777777,,0,0.020313100001658313
pilot_bfbc8e7f29d3,pilot,B2,0,22,24,,,,0.9467989176501493,0.9472222222222223,0.9472222222222222,,0,0.06464319999940926
pilot_d22edcab9afd,pilot,B4,0,33,24,,,,0.8669921346280809,0.8638888888888889,0.8638888888888889,,0,0.04202389999954903
pilot_d460c0102c1e,pilot,B3,0,11,48,,,,0.9107353355080341,0.9111111111111111,0.9111111111111111,,0,0.018596800000523217
pilot_db3eb8f2fb0e,pilot,B1,0,22,12,,,,0.9581660085596456,0.9583333333333334,0.9583333333333334,,0,0.02689269999973476
pilot_e4d7122185ee,pilot,B4,0,11,48,,,,0.9333150826512299,0.9333333333333332,0.9333333333333333,,0,0.02781440000035218
pilot_e76709dcfb1a,pilot,B3,0,22,24,,,,0.8897415636348676,0.888888888888889,0.8888888888888888,,0,0.017585600000529666
pilot_e7e5a52c2dfd,pilot,B1,0,11,48,,,,0.988876529477197,0.9888888888888889,0.9888888888888889,,0,0.020085699999981443
pilot_f800b8bfcc9b,pilot,B2,0,11,48,,,,0.9531441490327685,0.9527777777777778,0.9527777777777777,,0,0.10632409999925585
pilot_fa7300892d5b,pilot,B1,0,22,24,,,,0.9889495914163846,0.9888888888888889,0.9888888888888889,,0,0.020484399999986636
pilot_fef12ac19762,pilot,B1,0,33,12,,,,0.8843007291209816,0.8833333333333334,0.8833333333333333,,0,0.018546299999798066
