run_id,profile,family,fold,subset_seed,budget,map_seed,sampling_seed,launched_shots,macro_f1,balanced_accuracy,accuracy,acceptance,failures,test_inference_seconds
shots_q101_n2000_s1001,shots,Q1-sampled,0,11,24,101.0,1001.0,2000.0,0.7979288044196617,0.7999999999999999,0.8,0.7547777777777778,0,
shots_q101_n2000_s1002,shots,Q1-sampled,0,11,24,101.0,1002.0,2000.0,0.7937939160338465,0.7972222222222222,0.7972222222222223,0.7526777777777778,0,
shots_q101_n2000_s1003,shots,Q1-sampled,0,11,24,101.0,1003.0,2000.0,0.7955828596822223,0.7999999999999999,0.8,0.7542722222222222,0,
shots_q101_n2000_s1004,shots,Q1-sampled,0,11,24,101.0,1004.0,2000.0,0.7973235872337493,0.7999999999999999,0.8,0.7538861111111111,0,
shots_q101_n2000_s1005,shots,Q1-sampled,0,11,24,101.0,1005.0,2000.0,0.7874151293860528,0.7916666666666666,0.7916666666666666,0.7530555555555556,0,
shots_q101_n500_s1001,shots,Q1-sampled,0,11,24,101.0,1001.0,500.0,0.7802063401230157,0.7833333333333332,0.7833333333333333,0.7540388888888889,0,
shots_q101_n500_s1002,shots,Q1-sampled,0,11,24,101.0,1002.0,500.0,0.802663030191908,0.8055555555555555,0.8055555555555556,0.7543611111111111,0,
shots_q101_n500_s1003,shots,Q1-sampled,0,11,24,101.0,1003.0,500.0,0.7927131564357467,0.7972222222222224,0.7972222222222223,0.75475,0,
shots_q101_n500_s1004,shots,Q1-sampled,0,11,24,101.0,1004.0,500.0,0.7998726581125005,0.8027777777777777,0.8027777777777778,0.7527888888888888,0,
shots_q101_n500_s1005,shots,Q1-sampled,0,11,24,101.0,1005.0,500.0,0.7942785357870746,0.7999999999999999,0.8,0.7538722222222223,0,
shots_q101_n8000_s1001,shots,Q1-sampled,0,11,24,101.0,1001.0,8000.0,0.7992060442105678,0.8027777777777777,0.8027777777777778,0.7532701388888889,0,
shots_q101_n8000_s1002,shots,Q1-sampled,0,11,24,101.0,1002.0,8000.0,0.7871850874045413,0.7916666666666666,0.7916666666666666,0.7531475694444445,0,
shots_q101_n8000_s1003,shots,Q1-sampled,0,11,24,101.0,1003.0,8000.0,0.8006165606815867,0.8027777777777777,0.8027777777777778,0.7535291666666667,0,
shots_q101_n8000_s1004,shots,Q1-sampled,0,11,24,101.0,1004.0,8000.0,0.7968602264363209,0.7999999999999999,0.8,0.7537836805555556,0,
shots_q101_n8000_s1005,shots,Q1-sampled,0,11,24,101.0,1005.0,8000.0,0.7939719021194253,0.7972222222222222,0.7972222222222223,0.7535152777777778,0,
