family,budget,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,accuracy_mean,subset_count
B1,12,0.9242475678484378,0.03729981318478301,0.9240740740740742,0.924074074074074,3
B1,24,0.9638213917152165,0.03226380571412687,0.9638888888888889,0.9638888888888889,3
B1,48,0.9851541479492698,0.006437677506804699,0.9851851851851853,0.9851851851851853,3
B2,12,0.897629173692772,0.02067298039267476,0.898148148148148,0.8981481481481483,3
B2,24,0.9316254996984147,0.01809426908241679,0.9314814814814815,0.9314814814814815,3
B2,48,0.9504466861029752,0.017742598302190486,0.9500000000000001,0.9500000000000001,3
B3,12,0.8224319665576324,0.008421454092218724,0.8240740740740741,0.8240740740740741,3
B3,24,0.8645636284253683,0.030721629264789888,0.8648148148148148,0.8648148148148148,3
B3,48,0.9138311516784879,0.029374607530477014,0.9138888888888889,0.9138888888888889,3
B4,12,0.8318808764038462,0.007504411714146002,0.8314814814814815,0.8314814814814815,3
B4,24,0.8444170044850813,0.023145769967862422,0.8416666666666667,0.8416666666666667,3
B4,48,0.9241788504036658,0.013736064783485371,0.924074074074074,0.924074074074074,3
B5,12,0.46789204932682277,0.029527476598157767,0.46851851851851856,0.4685185185185185,3
B5,24,0.564753376117654,0.049343831371502604,0.5669753086419753,0.5669753086419753,3
B5,48,0.6401088523794448,0.01420846059397067,0.6466049382716049,0.6466049382716049,3
B6,12,0.7978188071926003,0.01133646312899426,0.7993827160493826,0.7993827160493826,3
B6,24,0.8318090928431957,0.011228180509466485,0.8314814814814815,0.8314814814814815,3
B6,48,0.8922762598248942,0.002668051398276732,0.8919753086419752,0.8919753086419754,3
Q1,12,0.7812085885032164,0.01849405088510562,0.7845679012345679,0.7845679012345679,3
Q1,24,0.7885868855538928,0.019735312440182166,0.7916666666666666,0.7916666666666666,3
Q1,48,0.870818212825975,0.028107635536327478,0.8716049382716049,0.8716049382716049,3
