family,budget,subset_seed,macro_f1,balanced_accuracy,accuracy,acceptance,map_evaluations
B1,12,11,0.930275965864686,0.9305555555555557,0.9305555555555556,,1
B1,12,22,0.9581660085596456,0.9583333333333334,0.9583333333333334,,1
B1,12,33,0.8843007291209816,0.8833333333333334,0.8833333333333333,,1
B1,24,11,0.927437481957906,0.9277777777777777,0.9277777777777778,,1
B1,24,22,0.9889495914163846,0.9888888888888889,0.9888888888888889,,1
B1,24,33,0.975077101771359,0.9750000000000001,0.975,,1
B1,48,11,0.988876529477197,0.9888888888888889,0.9888888888888889,,1
B1,48,22,0.988865353303856,0.9888888888888889,0.9888888888888889,,1
B1,48,33,0.9777205610667564,0.9777777777777779,0.9777777777777777,,1
B2,12,11,0.9187427547114405,0.9194444444444444,0.9194444444444444,,1
B2,12,22,0.8774269365508548,0.8777777777777778,0.8777777777777778,,1
B2,12,33,0.8967178298160207,0.8972222222222221,0.8972222222222223,,1
B2,24,11,0.9364777663384647,0.936111111111111,0.9361111111111111,,1
B2,24,22,0.9467989176501493,0.9472222222222223,0.9472222222222222,,1
B2,24,33,0.91159981510663,0.9111111111111111,0.9111111111111111,,1
B2,48,11,0.9531441490327685,0.9527777777777778,0.9527777777777777,,1
B2,48,22,0.9666860916860917,0.9666666666666667,0.9666666666666667,,1
B2,48,33,0.9315098175900657,0.9305555555555555,0.9305555555555556,,1
B3,12,11,0.8315031897887607,0.8333333333333334,0.8333333333333334,,1
B3,12,22,0.8148622865767169,0.8138888888888888,0.8138888888888889,,1
B3,12,33,0.8209304233074194,0.8250000000000002,0.825,,1
B3,24,11,0.8303327526648463,0.8305555555555557,0.8305555555555556,,1
B3,24,22,0.8897415636348676,0.888888888888889,0.8888888888888888,,1
B3,24,33,0.8736165689763912,0.875,0.875,,1
B3,48,11,0.9107353355080341,0.9111111111111111,0.9111111111111111,,1
B3,48,22,0.8861270596740008,0.8861111111111111,0.8861111111111111,,1
B3,48,33,0.9446310598534288,0.9444444444444445,0.9444444444444444,,1
B4,12,11,0.8400384005703759,0.8388888888888889,0.8388888888888889,,1
B4,12,22,0.8252708508456,0.8222222222222221,0.8222222222222222,,1
B4,12,33,0.8303333777955627,0.8333333333333334,0.8333333333333334,,1
B4,24,11,0.8207399563059142,0.8166666666666665,0.8166666666666667,,1
B4,24,22,0.8455189225212489,0.8444444444444444,0.8444444444444444,,1
B4,24,33,0.8669921346280809,0.8638888888888889,0.8638888888888889,,1
B4,48,11,0.9333150826512299,0.9333333333333332,0.9333333333333333,,1
B4,48,22,0.9083823585747769,0.9083333333333333,0.9083333333333333,,1
B4,48,33,0.9308391099849908,0.9305555555555555,0.9305555555555556,,1
B5,12,11,0.46433898976496363,0.4685185185185185,0.4685185185185185,,3
B5,12,22,0.4990352898542279,0.4935185185185185,0.4935185185185185,,3
B5,12,33,0.4403018683612767,0.4435185185185186,0.4435185185185185,,3
B5,24,11,0.5245112537425545,0.524074074074074,0.524074074074074,,3
B5,24,22,0.6198064052497659,0.6287037037037037,0.6287037037037037,,3
B5,24,33,0.5499424693606416,0.5481481481481482,0.5481481481481482,,3
B5,48,11,0.6238665105638553,0.6351851851851853,0.6351851851851852,,3
B5,48,22,0.6462250041577589,0.65,0.65,,3
B5,48,33,0.65023504241672,0.6546296296296297,0.6546296296296296,,3
B6,12,11,0.8097374961299962,0.812037037037037,0.812037037037037,,3
B6,12,22,0.7871718154691227,0.787962962962963,0.787962962962963,,3
B6,12,33,0.7965471099786822,0.7981481481481482,0.7981481481481482,,3
B6,24,11,0.8189309590865438,0.8157407407407407,0.8157407407407407,,3
B6,24,22,0.8395471172891503,0.8416666666666667,0.8416666666666667,,3
B6,24,33,0.836949202153893,0.837037037037037,0.837037037037037,,3
B6,48,11,0.8925238621467605,0.8925925925925925,0.8925925925925927,,3
B6,48,22,0.8894930380350455,0.8888888888888888,0.888888888888889,,3
B6,48,33,0.8948118792928765,0.8944444444444444,0.8944444444444445,,3
Q1,12,11,0.8014296867248495,0.8046296296296296,0.8046296296296296,0.7203670238921637,3
Q1,12,22,0.765151585980981,0.7685185185185185,0.7685185185185185,0.7448750700734248,3
Q1,12,33,0.7770444928038187,0.7805555555555556,0.7805555555555556,0.7378976356637467,3
Q1,24,11,0.7726640366635894,0.7768518518518519,0.7768518518518519,0.7536710450065894,3
Q1,24,22,0.7824298922575256,0.7861111111111111,0.7861111111111111,0.734361559641691,3
Q1,24,33,0.8106667277405633,0.812037037037037,0.812037037037037,0.7404509019621539,3
Q1,48,11,0.8679322016704427,0.8685185185185186,0.8685185185185186,0.7417050188896258,3
Q1,48,22,0.8442649261465401,0.8453703703703704,0.8453703703703703,0.7310426910480895,3
Q1,48,33,0.9002575106609426,0.9009259259259258,0.9009259259259258,0.7540687227662431,3
