stage,family,seconds
CLIP embedding,all,96.57280879999962
candidate fit + validation,B1,3.3080418000117735
candidate fit + validation,B2,1.7533152000014478
candidate fit + validation,B3,1.962171900004245
candidate fit + validation,B4,0.7590888999875399
candidate fit + validation,B5,4.284268100009268
candidate fit + validation,B6,11.008901400027739
candidate fit + validation,Q1,26.010139899995906
quantum timing sample,Q1,0.050800499999240856
test inference,B1,0.18251750000126776
test inference,B2,0.6541161000022839
test inference,B3,0.14604309999776888
test inference,B4,0.2687130000012985
test inference,B5,0.5488345999965532
test inference,B6,0.5679767000056017
test inference,Q1,8.368338599999333
