family,true_label,prediction,rate
B1,Cr,Cr,0.9333333333333333
B1,Cr,In,0.0
B1,Cr,Pa,0.06666666666666667
B1,Cr,PS,0.0
B1,Cr,RS,0.0
B1,Cr,Sc,0.0
B1,In,Cr,0.016666666666666666
B1,In,In,0.7833333333333333
B1,In,Pa,0.0
B1,In,PS,0.2
B1,In,RS,0.0
B1,In,Sc,0.0
B1,Pa,Cr,0.0
B1,Pa,In,0.016666666666666666
B1,Pa,Pa,0.9833333333333333
B1,Pa,PS,0.0
B1,Pa,RS,0.0
B1,Pa,Sc,0.0
B1,PS,Cr,0.03333333333333333
B1,PS,In,0.0
B1,PS,Pa,0.06666666666666667
B1,PS,PS,0.9
B1,PS,RS,0.0
B1,PS,Sc,0.0
B1,RS,Cr,0.0
B1,RS,In,0.0
B1,RS,Pa,0.0
B1,RS,PS,0.0
B1,RS,RS,1.0
B1,RS,Sc,0.0
B1,Sc,Cr,0.0
B1,Sc,In,0.016666666666666666
B1,Sc,Pa,0.0
B1,Sc,PS,0.0
B1,Sc,RS,0.016666666666666666
B1,Sc,Sc,0.9666666666666667
Q1,Cr,Cr,0.9444444444444444
Q1,Cr,In,0.005555555555555556
Q1,Cr,Pa,0.03333333333333333
Q1,Cr,PS,0.005555555555555556
Q1,Cr,RS,0.011111111111111112
Q1,Cr,Sc,0.0
Q1,In,Cr,0.03333333333333333
Q1,In,In,0.6111111111111112
Q1,In,Pa,0.011111111111111112
Q1,In,PS,0.1111111111111111
Q1,In,RS,0.0
Q1,In,Sc,0.23333333333333334
Q1,Pa,Cr,0.022222222222222223
Q1,Pa,In,0.08888888888888889
Q1,Pa,Pa,0.8888888888888888
Q1,Pa,PS,0.0
Q1,Pa,RS,0.0
Q1,Pa,Sc,0.0
Q1,PS,Cr,0.08888888888888889
Q1,PS,In,0.06666666666666667
Q1,PS,Pa,0.11666666666666667
Q1,PS,PS,0.7111111111111111
Q1,PS,RS,0.005555555555555556
Q1,PS,Sc,0.011111111111111112
Q1,RS,Cr,0.0
Q1,RS,In,0.011111111111111112
Q1,RS,Pa,0.0
Q1,RS,PS,0.0
Q1,RS,RS,0.9555555555555556
Q1,RS,Sc,0.03333333333333333
Q1,Sc,Cr,0.005555555555555556
Q1,Sc,In,0.32222222222222224
Q1,Sc,Pa,0.0
Q1,Sc,PS,0.05555555555555555
Q1,Sc,RS,0.06666666666666667
Q1,Sc,Sc,0.55
