budget,subset_seed,map_seed,comparison,macro_f1_difference
12,11,101.0,Q1_minus_RFF,0.4699553508027157
12,11,202.0,Q1_minus_RFF,0.27749403256642347
12,11,303.0,Q1_minus_RFF,0.2638227075105184
12,22,101.0,Q1_minus_RFF,0.25511134638970595
12,22,202.0,Q1_minus_RFF,0.2587488406894479
12,22,303.0,Q1_minus_RFF,0.2844887013011055
12,33,101.0,Q1_minus_RFF,0.3694032267472466
12,33,202.0,Q1_minus_RFF,0.28066861109144803
12,33,303.0,Q1_minus_RFF,0.3601560354889313
24,11,101.0,Q1_minus_RFF,0.34011493410461674
24,11,202.0,Q1_minus_RFF,0.2045168080481926
24,11,303.0,Q1_minus_RFF,0.1998266066102954
24,22,101.0,Q1_minus_RFF,0.21805049311727454
24,22,202.0,Q1_minus_RFF,0.12632973146081583
24,22,303.0,Q1_minus_RFF,0.14349023644518832
24,33,101.0,Q1_minus_RFF,0.2810279803125866
24,33,202.0,Q1_minus_RFF,0.2724051091745132
24,33,303.0,Q1_minus_RFF,0.22873968565266534
48,11,101.0,Q1_minus_RFF,0.30004065667845736
48,11,202.0,Q1_minus_RFF,0.19735950639889588
48,11,303.0,Q1_minus_RFF,0.23479691024240879
48,22,101.0,Q1_minus_RFF,0.2447929118406924
48,22,202.0,Q1_minus_RFF,0.13232549896177126
48,22,303.0,Q1_minus_RFF,0.2170013551638803
48,33,101.0,Q1_minus_RFF,0.3005906100236815
48,33,202.0,Q1_minus_RFF,0.22411779855370262
48,33,303.0,Q1_minus_RFF,0.22535899615528365
12,11,101.0,Q1_minus_ELM,0.03394126162352751
12,11,202.0,Q1_minus_ELM,-0.04637449074622291
12,11,303.0,Q1_minus_ELM,-0.012490199092744514
12,22,101.0,Q1_minus_ELM,0.010771270477542783
12,22,202.0,Q1_minus_ELM,-0.011278365649286082
12,22,303.0,Q1_minus_ELM,-0.06555359329268196
12,33,101.0,Q1_minus_ELM,0.015459506337280549
12,33,202.0,Q1_minus_ELM,-0.03554095560450332
12,33,303.0,Q1_minus_ELM,-0.0384264022573676
24,11,101.0,Q1_minus_ELM,-0.002987545227508104
24,11,202.0,Q1_minus_ELM,-0.031533628841556305
24,11,303.0,Q1_minus_ELM,-0.10427959319979829
24,22,101.0,Q1_minus_ELM,-0.03397874183821248
24,22,202.0,Q1_minus_ELM,-0.075448352268072
24,22,303.0,Q1_minus_ELM,-0.06192458098858966
24,33,101.0,Q1_minus_ELM,-0.019143294227997987
24,33,202.0,Q1_minus_ELM,0.004059162345398715
24,33,303.0,Q1_minus_ELM,-0.0637632913573899
48,11,101.0,Q1_minus_ELM,-0.022967913965575737
48,11,202.0,Q1_minus_ELM,0.011561670754506426
48,11,303.0,Q1_minus_ELM,-0.06236873821788402
48,22,101.0,Q1_minus_ELM,-0.06340933003817928
48,22,202.0,Q1_minus_ELM,-0.02645971913844547
48,22,303.0,Q1_minus_ELM,-0.045815286488891216
48,33,101.0,Q1_minus_ELM,0.018472441640399406
48,33,202.0,Q1_minus_ELM,0.005311499101325445
48,33,303.0,Q1_minus_ELM,-0.007447046637526711
12,11,101.0,Q1_minus_RBF,-0.03753093778885486
12,11,202.0,Q1_minus_RBF,-0.030085426165238904
12,11,303.0,Q1_minus_RBF,-0.04820977758248546
12,22,101.0,Q1_minus_RBF,-0.07212872776862878
12,22,202.0,Q1_minus_RBF,-0.0326810819844745
12,22,303.0,Q1_minus_RBF,-0.07554798484075376
12,33,101.0,Q1_minus_RBF,-0.040345152669200135
12,33,202.0,Q1_minus_RBF,-0.048206347984365294
12,33,303.0,Q1_minus_RBF,-0.07131515432166657
24,11,101.0,Q1_minus_RBF,-0.02609304012848057
24,11,202.0,Q1_minus_RBF,-0.02230912415044861
24,11,303.0,Q1_minus_RBF,-0.09582559464804519
24,22,101.0,Q1_minus_RBF,-0.054028101790810634
24,22,202.0,Q1_minus_RBF,-0.05584243724974758
24,22,303.0,Q1_minus_RBF,-0.07939655175061189
24,33,101.0,Q1_minus_RBF,-0.05525943869234895
24,33,202.0,Q1_minus_RBF,-0.022559423651078547
24,33,303.0,Q1_minus_RBF,-0.0911573583191253
48,11,101.0,Q1_minus_RBF,-0.07852790940298215
48,11,202.0,Q1_minus_RBF,-0.024862038596229596
48,11,303.0,Q1_minus_RBF,-0.09275869494314981
48,22,101.0,Q1_minus_RBF,-0.0788096254414612
48,22,202.0,Q1_minus_RBF,-0.0536604732888557
48,22,303.0,Q1_minus_RBF,-0.05988219855439336
48,33,101.0,Q1_minus_RBF,-0.03368247751940934
48,33,202.0,Q1_minus_RBF,-0.01108780652482011
48,33,303.0,Q1_minus_RBF,-0.04697451392791496
